timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532614863136,20,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,20,0,1
1532614863157,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,16,0,0
1532614863173,18,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,18,0,0
1532614863191,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,17,0,0
1532614863208,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,16,0,0
1532614863224,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,16,0,0
1532614863240,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,17,0,0
1532614863257,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,16,0,0
1532614863273,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,16,0,0
1532614863289,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,17,0,0
1532614863306,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,51,17,0,0
1532614863323,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,17,0,0
1532614863340,19,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,19,0,0
1532614863359,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,16,0,0
1532614863375,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,16,0,0
1532614863391,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,17,0,0
1532614863408,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,16,0,0
1532614863424,18,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,18,0,0
1532614863442,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,16,0,0
1532614863458,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,17,0,0
1532614863475,18,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,18,0,0
1532614863493,15,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,15,0,0
1532614863508,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,52,17,0,0
1532614863525,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,53,17,0,0
1532614863542,17,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,53,17,0,0
1532614863559,21,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,53,21,0,0
1532614863580,16,HTTP Request,200,,spikeTest 1-1,text,true,,3142,133,1,53,16,0,0
