timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,IdleTime,Connect
1532538430527,16,HTTP Request,200,,loadTest 2-1,text,true,,3142,133,1,2,,16,0,0
1532538430566,17,HTTP Request,200,,loadTest 2-2,text,true,,3142,133,2,2,,17,0,0
1532538430567,16,HTTP Request,200,,loadTest 2-3,text,true,,3142,133,2,2,,16,0,0
1532538430587,15,HTTP Request,200,,loadTest 2-4,text,true,,3142,133,1,1,,15,0,0
1532538430607,12,HTTP Request,200,,loadTest 2-5,text,true,,3142,133,1,1,,12,0,0
1532538430628,11,HTTP Request,200,,loadTest 2-6,text,true,,3142,133,1,1,,11,0,0
1532538430648,11,HTTP Request,200,,loadTest 2-7,text,true,,3142,133,1,1,,11,0,0
1532538430668,11,HTTP Request,200,,loadTest 2-8,text,true,,3142,133,1,1,,11,0,0
1532538430688,11,HTTP Request,200,,loadTest 2-9,text,true,,3142,133,1,1,,11,0,0
1532538430709,11,HTTP Request,200,,loadTest 2-10,text,true,,3142,133,1,1,,11,0,0
1532538430729,11,HTTP Request,200,,loadTest 2-11,text,true,,3142,133,1,1,,11,0,1
1532538430749,11,HTTP Request,200,,loadTest 2-12,text,true,,3142,133,1,1,,11,0,1
1532538430771,12,HTTP Request,200,,loadTest 2-13,text,true,,3142,133,1,1,,12,0,1
1532538430794,11,HTTP Request,200,,loadTest 2-14,text,true,,3142,133,1,1,,11,0,0
1532538430816,11,HTTP Request,200,,loadTest 2-15,text,true,,3142,133,1,1,,11,0,1
1532538430836,11,HTTP Request,200,,loadTest 2-16,text,true,,3142,133,1,1,,11,0,1
1532538430856,11,HTTP Request,200,,loadTest 2-17,text,true,,3142,133,1,1,,11,0,1
1532538430877,10,HTTP Request,200,,loadTest 2-18,text,true,,3142,133,1,1,,10,0,0
1532538430897,10,HTTP Request,200,,loadTest 2-19,text,true,,3142,133,1,1,,10,0,0
1532538430917,11,HTTP Request,200,,loadTest 2-20,text,true,,3142,133,1,1,,11,0,0
1532538430936,11,HTTP Request,200,,loadTest 2-21,text,true,,3142,133,1,1,,11,0,1
1532538430956,14,HTTP Request,200,,loadTest 2-22,text,true,,3142,133,1,1,,14,0,0
1532538430977,11,HTTP Request,200,,loadTest 2-23,text,true,,3142,133,1,1,,11,0,1
1532538430998,13,HTTP Request,200,,loadTest 2-24,text,true,,3142,133,1,1,,13,0,1
1532538431018,12,HTTP Request,200,,loadTest 2-25,text,true,,3142,133,1,2,,12,0,1
1532538431039,11,HTTP Request,200,,loadTest 2-26,text,true,,3142,133,1,1,,11,0,0
1532538431059,10,HTTP Request,200,,loadTest 2-27,text,true,,3142,133,1,1,,10,0,0
1532538431080,12,HTTP Request,200,,loadTest 2-28,text,true,,3142,133,1,1,,12,0,0
1532538431120,11,HTTP Request,200,,loadTest 2-30,text,true,,3142,133,1,1,,11,0,0
1532538431143,10,HTTP Request,200,,loadTest 2-29,text,true,,3142,133,1,1,,10,0,0
1532538431170,23,HTTP Request,200,,loadTest 2-31,text,true,,3142,133,2,2,,23,0,1
1532538431189,23,HTTP Request,200,,loadTest 2-32,text,true,,3142,133,2,2,,23,0,0
1532538431209,23,HTTP Request,200,,loadTest 2-33,text,true,,3142,133,2,2,,23,0,0
1532538431229,23,HTTP Request,200,,loadTest 2-34,text,true,,3142,133,2,2,,23,0,0
1532538431249,17,HTTP Request,200,,loadTest 2-35,text,true,,3142,133,1,1,,17,0,0
1532538431269,15,HTTP Request,200,,loadTest 2-36,text,true,,3142,133,1,1,,15,0,1
1532538431288,11,HTTP Request,200,,loadTest 2-37,text,true,,3142,133,1,1,,11,0,0
1532538431308,11,HTTP Request,200,,loadTest 2-38,text,true,,3142,133,1,1,,11,0,0
1532538431328,11,HTTP Request,200,,loadTest 2-39,text,true,,3142,133,1,1,,11,0,0
1532538431348,11,HTTP Request,200,,loadTest 2-40,text,true,,3142,133,1,1,,11,0,1
1532538431369,11,HTTP Request,200,,loadTest 2-41,text,true,,3142,133,1,1,,11,0,0
1532538431389,11,HTTP Request,200,,loadTest 2-42,text,true,,3142,133,1,1,,11,0,0
1532538431409,18,HTTP Request,200,,loadTest 2-43,text,true,,3142,133,1,1,,18,0,0
1532538431429,10,HTTP Request,200,,loadTest 2-44,text,true,,3142,133,1,1,,10,0,0
1532538431448,13,HTTP Request,200,,loadTest 2-45,text,true,,3142,133,1,1,,13,0,1
1532538431468,11,HTTP Request,200,,loadTest 2-46,text,true,,3142,133,1,1,,11,0,1
1532538431488,13,HTTP Request,200,,loadTest 2-47,text,true,,3142,133,1,1,,13,0,1
1532538431509,10,HTTP Request,200,,loadTest 2-48,text,true,,3142,133,1,1,,10,0,0
1532538431528,12,HTTP Request,200,,loadTest 2-49,text,true,,3142,133,1,1,,12,0,1
1532538431549,11,HTTP Request,200,,loadTest 2-50,text,true,,3142,133,1,1,,11,0,0
1532538431569,11,HTTP Request,200,,loadTest 2-51,text,true,,3142,133,1,1,,11,0,0
1532538431589,11,HTTP Request,200,,loadTest 2-52,text,true,,3142,133,1,1,,11,0,0
1532538431609,11,HTTP Request,200,,loadTest 2-53,text,true,,3142,133,1,1,,11,0,0
1532538431629,11,HTTP Request,200,,loadTest 2-54,text,true,,3142,133,1,1,,11,0,0
1532538431649,11,HTTP Request,200,,loadTest 2-55,text,true,,3142,133,1,1,,11,0,0
1532538431669,12,HTTP Request,200,,loadTest 2-56,text,true,,3142,133,1,1,,12,0,1
1532538431690,11,HTTP Request,200,,loadTest 2-57,text,true,,3142,133,1,1,,11,0,0
1532538431709,11,HTTP Request,200,,loadTest 2-58,text,true,,3142,133,1,1,,11,0,1
1532538431729,11,HTTP Request,200,,loadTest 2-59,text,true,,3142,133,1,1,,11,0,0
1532538431749,11,HTTP Request,200,,loadTest 2-60,text,true,,3142,133,1,1,,11,0,0
1532538431769,11,HTTP Request,200,,loadTest 2-61,text,true,,3142,133,1,1,,11,0,1
1532538431789,11,HTTP Request,200,,loadTest 2-62,text,true,,3142,133,1,1,,11,0,1
1532538431809,11,HTTP Request,200,,loadTest 2-63,text,true,,3142,133,1,1,,11,0,1
1532538431829,11,HTTP Request,200,,loadTest 2-64,text,true,,3142,133,1,1,,11,0,1
1532538431849,11,HTTP Request,200,,loadTest 2-65,text,true,,3142,133,1,1,,11,0,0
1532538431869,11,HTTP Request,200,,loadTest 2-66,text,true,,3142,133,1,1,,11,0,0
1532538431889,11,HTTP Request,200,,loadTest 2-67,text,true,,3142,133,1,1,,11,0,0
1532538431909,11,HTTP Request,200,,loadTest 2-68,text,true,,3142,133,1,1,,11,0,0
1532538431929,11,HTTP Request,200,,loadTest 2-69,text,true,,3142,133,1,1,,11,0,1
1532538431950,11,HTTP Request,200,,loadTest 2-70,text,true,,3142,133,1,1,,11,0,0
1532538431968,11,HTTP Request,200,,loadTest 2-71,text,true,,3142,133,1,1,,11,0,1
1532538431989,10,HTTP Request,200,,loadTest 2-72,text,true,,3142,133,1,1,,10,0,0
1532538432009,10,HTTP Request,200,,loadTest 2-73,text,true,,3142,133,1,1,,10,0,0
1532538432028,11,HTTP Request,200,,loadTest 2-74,text,true,,3142,133,1,2,,11,0,0
1532538432048,11,HTTP Request,200,,loadTest 2-75,text,true,,3142,133,1,1,,11,0,1
1532538432068,12,HTTP Request,200,,loadTest 2-76,text,true,,3142,133,1,1,,12,0,1
1532538432089,11,HTTP Request,200,,loadTest 2-77,text,true,,3142,133,1,1,,11,0,0
1532538432108,11,HTTP Request,200,,loadTest 2-78,text,true,,3142,133,1,1,,11,0,1
1532538432128,11,HTTP Request,200,,loadTest 2-79,text,true,,3142,133,1,1,,11,0,1
1532538432149,10,HTTP Request,200,,loadTest 2-80,text,true,,3142,133,1,1,,10,0,0
1532538432169,11,HTTP Request,200,,loadTest 2-81,text,true,,3142,133,1,1,,11,0,0
1532538432189,11,HTTP Request,200,,loadTest 2-82,text,true,,3142,133,1,1,,11,0,0
1532538432208,15,HTTP Request,200,,loadTest 2-83,text,true,,3142,133,1,1,,15,0,0
1532538432228,41,HTTP Request,200,,loadTest 2-84,text,true,,3142,133,3,3,,41,0,0
1532538432248,25,HTTP Request,200,,loadTest 2-85,text,true,,3142,133,2,2,,25,0,0
1532538432268,16,HTTP Request,200,,loadTest 2-86,text,true,,3142,133,1,1,,16,0,0
1532538432288,13,HTTP Request,200,,loadTest 2-87,text,true,,3142,133,1,1,,13,0,0
1532538432309,10,HTTP Request,200,,loadTest 2-88,text,true,,3142,133,1,1,,10,0,0
1532538432328,11,HTTP Request,200,,loadTest 2-89,text,true,,3142,133,1,1,,11,0,0
1532538432348,11,HTTP Request,200,,loadTest 2-90,text,true,,3142,133,1,1,,11,0,1
