timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,IdleTime,Connect
1532548025428,41,pur,200,,loadTest 2-1,text,true,,3142,133,3,4,,41,0,0
1532548025469,56,pur,200,,loadTest 2-3,text,true,,3142,133,3,4,,56,0,0
1532548025449,76,pur,200,,loadTest 2-2,text,true,,3142,133,3,4,,76,0,0
1532548025538,16,pur,200,,loadTest 2-6,text,true,,3142,133,4,4,,16,0,1
1532548025525,37,pur,200,,loadTest 2-5,text,true,,3142,133,3,3,,37,0,0
1532548025524,39,pur,200,,loadTest 2-4,text,true,,3142,133,2,2,,39,0,14
1532548025553,23,pur,200,,loadTest 2-7,text,true,,3142,133,2,2,,23,0,0
1532548025573,14,pur,200,,loadTest 2-8,text,true,,3142,133,1,1,,14,0,0
1532548025593,13,pur,200,,loadTest 2-9,text,true,,3142,133,1,1,,13,0,0
1532548025613,13,pur,200,,loadTest 2-10,text,true,,3142,133,1,1,,13,0,0
1532548025643,13,pur,200,,loadTest 2-11,text,true,,3142,133,1,1,,13,0,0
1532548025662,12,pur,200,,loadTest 2-12,text,true,,3142,133,1,1,,12,0,0
1532548025682,12,pur,200,,loadTest 2-13,text,true,,3142,133,1,1,,12,0,0
1532548025702,12,pur,200,,loadTest 2-14,text,true,,3142,133,1,1,,12,0,0
1532548025722,12,pur,200,,loadTest 2-15,text,true,,3142,133,1,1,,12,0,0
1532548025742,12,pur,200,,loadTest 2-16,text,true,,3142,133,1,1,,12,0,0
1532548025762,12,pur,200,,loadTest 2-17,text,true,,3142,133,1,1,,12,0,0
1532548025783,12,pur,200,,loadTest 2-18,text,true,,3142,133,1,1,,12,0,0
1532548025803,13,pur,200,,loadTest 2-19,text,true,,3142,133,1,1,,13,0,0
1532548025823,13,pur,200,,loadTest 2-20,text,true,,3142,133,1,1,,13,0,0
1532548025843,13,pur,200,,loadTest 2-21,text,true,,3142,133,1,1,,13,0,0
1532548025863,13,pur,200,,loadTest 2-22,text,true,,3142,133,1,1,,13,0,0
1532548025883,12,pur,200,,loadTest 2-23,text,true,,3142,133,1,1,,12,0,0
1532548025903,12,pur,200,,loadTest 2-24,text,true,,3142,133,1,1,,12,0,1
1532548025923,13,pur,200,,loadTest 2-25,text,true,,3142,133,1,2,,13,0,1
1532548025943,12,pur,200,,loadTest 2-26,text,true,,3142,133,1,1,,12,0,1
1532548025964,12,pur,200,,loadTest 2-27,text,true,,3142,133,1,1,,12,0,0
1532548025983,12,pur,200,,loadTest 2-28,text,true,,3142,133,1,1,,12,0,0
1532548026003,12,pur,200,,loadTest 2-29,text,true,,3142,133,1,1,,12,0,0
1532548026024,12,pur,200,,loadTest 2-30,text,true,,3142,133,1,1,,12,0,0
1532548026044,12,pur,200,,loadTest 2-31,text,true,,3142,133,1,1,,12,0,0
1532548026064,12,pur,200,,loadTest 2-32,text,true,,3142,133,1,1,,12,0,0
1532548026088,12,pur,200,,loadTest 2-33,text,true,,3142,133,1,1,,12,0,0
1532548026108,12,pur,200,,loadTest 2-34,text,true,,3142,133,1,1,,12,0,0
